product_id,Screen_Appearance,Voice_Clarity,Signal_Receiving_Strength,App_Comaptiability,product_length,product_width,product_thickness,Overall_Quality
159455,Good,Good,AboveAverage,Poor,5.95,2.63,0.38,Good
168750,VeryGood,BelowAverage,VeryPoor,Average,4.41,2.2,0.358,Poor
161960,VeryGood,Poor,Excellent,VeryPoor,4.33,2.48,0.362,Good
190602,Poor,BelowAverage,VeryGood,SlightlyPoor,4.31,1.97,0.325,Poor
203507,BelowAverage,AboveAverage,SlightlyGood,VeryGood,4.78,2.11,0.373,Good
194863,Good,AboveAverage,Average,AboveAverage,4.33,2.47,0.328,Good
170468,Excellent,BelowAverage,VeryPoor,SlightlyGood,4.6,1.89,0.36,Good
148712,BelowAverage,SlightlyGood,Excellent,AboveAverage,6.19,2.26,0.352,Good
180012,Average,Poor,Average,Excellent,5.45,2.74,0.336,Good
171015,AboveAverage,Excellent,VeryPoor,VeryGood,6.1,2.02,0.383,Good
149149,VeryPoor,Excellent,Excellent,VeryPoor,5.66,2.43,0.384,Good
176628,VeryGood,Excellent,Average,AboveAverage,5.57,2.16,0.384,Good
204251,Average,VeryPoor,SlightlyGood,VeryPoor,4.74,1.84,0.389,Poor
179340,SlightlyGood,BelowAverage,SlightlyPoor,VeryPoor,6.07,1.96,0.378,Poor
159420,Average,VeryPoor,Average,VeryGood,5.87,2.26,0.341,Poor
160376,Average,VeryGood,AboveAverage,Poor,5.85,2.65,0.302,Good
168715,BelowAverage,Poor,VeryPoor,VeryPoor,5.48,2.15,0.321,Poor
210967,SlightlyGood,Average,Excellent,VeryGood,5,2.21,0.359,VeryGood
130115,Good,Average,Average,SlightlyGood,5.85,2.69,0.363,Good
118230,AboveAverage,SlightlyGood,VeryPoor,Good,5.28,2.6,0.39,Good
198115,SlightlyPoor,VeryGood,SlightlyGood,SlightlyPoor,4.65,2.41,0.346,Good
210659,BelowAverage,SlightlyGood,SlightlyGood,SlightlyGood,4.41,1.96,0.388,Good
141978,VeryGood,BelowAverage,Average,Good,5.49,2.8,0.371,Good
112555,Average,VeryGood,VeryPoor,VeryPoor,4.62,2.7,0.39,Poor
161046,Average,Excellent,SlightlyGood,Excellent,4.71,2.23,0.368,VeryGood
187645,AboveAverage,AboveAverage,VeryGood,VeryGood,5.87,1.94,0.338,Good
187706,VeryPoor,Good,BelowAverage,Average,5.82,1.85,0.363,Poor
145873,SlightlyPoor,SlightlyPoor,VeryPoor,VeryGood,6.09,2.85,0.356,Poor
195997,Average,AboveAverage,VeryGood,Good,5.41,2.63,0.318,Good
192133,Good,AboveAverage,BelowAverage,Good,5.81,2.34,0.321,Good
117634,Excellent,Poor,Good,SlightlyPoor,5.31,2.37,0.383,Good
130690,VeryPoor,Good,SlightlyPoor,VeryPoor,5.24,2.01,0.358,Poor
136728,VeryGood,SlightlyGood,AboveAverage,SlightlyPoor,5.48,1.81,0.311,Good
183979,VeryPoor,VeryPoor,Good,SlightlyPoor,5.25,1.82,0.365,Poor
150382,Poor,Average,VeryPoor,Poor,4.73,2.9,0.318,Poor
167233,SlightlyPoor,Good,Poor,SlightlyPoor,5.97,2.45,0.383,Poor
117488,SlightlyPoor,Poor,Poor,VeryPoor,5.53,2.04,0.377,Poor
139522,Average,Poor,SlightlyPoor,SlightlyGood,5.14,2.15,0.366,Poor
148126,SlightlyGood,Poor,Poor,Good,5.09,2.38,0.352,Poor
138805,AboveAverage,Excellent,SlightlyGood,AboveAverage,5.22,1.82,0.302,Good
199517,AboveAverage,BelowAverage,SlightlyPoor,Average,4.3,1.93,0.357,Poor
176153,Excellent,SlightlyGood,Poor,Poor,4.21,2.78,0.334,Good
125041,Good,AboveAverage,Average,AboveAverage,6.19,2.77,0.387,Good
165721,SlightlyGood,AboveAverage,Good,VeryGood,5.38,2.67,0.318,Good
211962,Good,Excellent,SlightlyGood,AboveAverage,4.79,2.48,0.318,VeryGood
123173,VeryGood,SlightlyPoor,Excellent,Excellent,5.49,1.97,0.34,VeryGood
166630,VeryPoor,AboveAverage,Good,Poor,5.43,2.07,0.382,Poor
201732,AboveAverage,SlightlyPoor,Average,SlightlyGood,5.81,2.86,0.351,Good
186217,BelowAverage,BelowAverage,AboveAverage,Average,6.2,2.71,0.318,Poor
173764,SlightlyPoor,VeryPoor,Poor,Poor,5.87,2.37,0.344,Poor
150035,Good,Poor,BelowAverage,Good,6.17,1.76,0.384,Good
203331,VeryGood,BelowAverage,SlightlyPoor,AboveAverage,4.39,2.32,0.38,Good
