TransactionID,Items
1,banana
2,chips
3,"tea,banana,eggs,coffee"
4,"apples,juice,banana"
5,"milk,bread,tea,juice,apples,coffee"
6,"banana,eggs,apples,coffee,milk"
7,"juice,milk"
8,tea
9,"milk,tea,yogurt,eggs,cheese"
10,"cheese,banana,tea,butter"
11,"bread,milk,tea,eggs"
12,tea
13,milk
14,"cheese,eggs,tea"
15,bread
16,"yogurt,apples,chips"
17,"eggs,juice"
18,"coffee,bread,butter,chips,tea,banana"
19,"eggs,tea,banana"
20,"juice,yogurt"
21,"eggs,milk,yogurt,juice,coffee"
22,"butter,milk,tea,cheese,chips,juice"
23,"eggs,tea,apples,yogurt,coffee,chips"
24,"tea,butter,bread,coffee,eggs,chips"
25,"milk,banana,cheese,juice,eggs"
26,"butter,apples,milk"
27,"bread,yogurt,butter"
28,"coffee,apples"
29,"tea,coffee"
30,tea
31,"yogurt,coffee,butter,apples,banana"
32,"juice,butter,coffee,eggs"
33,chips
34,coffee
35,"cheese,coffee,milk,banana,yogurt,apples"
36,"bread,yogurt,eggs,butter,chips,tea"
37,"juice,bread,eggs,yogurt,tea"
38,yogurt
39,"apples,cheese,yogurt"
40,"milk,butter,banana,cheese,apples"
41,"yogurt,apples,butter,milk,eggs"
42,"coffee,chips,eggs,butter,apples"
43,"coffee,juice"
44,"banana,cheese,bread,butter,tea"
45,apples
46,"banana,butter,apples,tea,chips"
47,apples
48,coffee
49,"milk,apples,butter,banana,coffee"
50,"cheese,eggs,juice,chips,coffee"
51,chips
52,"juice,eggs,apples,chips,butter"
53,"chips,cheese,milk,tea,juice,apples"
54,"apples,eggs,bread,cheese,chips"
55,"banana,coffee,juice,eggs"
56,"butter,eggs,cheese,coffee,milk,chips"
57,"chips,juice,eggs,coffee,bread"
58,"milk,yogurt,cheese,coffee,tea"
59,"yogurt,tea,milk"
60,"yogurt,cheese,juice"
61,"yogurt,bread,banana,juice,eggs"
62,"apples,cheese,juice,yogurt,butter"
63,"banana,coffee,tea"
64,"tea,bread"
65,"juice,milk,eggs"
66,eggs
67,"butter,banana,bread,cheese,coffee,chips"
68,"milk,banana"
69,"yogurt,apples"
70,"bread,chips,yogurt,butter,milk,tea"
71,milk
72,"yogurt,tea"
73,"juice,coffee"
74,"yogurt,eggs,cheese,tea,butter"
75,"banana,cheese,coffee,bread,tea"
76,"eggs,yogurt,tea"
77,"apples,banana,cheese,juice,tea,eggs"
78,"juice,milk"
79,"tea,eggs"
80,"coffee,juice,chips,banana,cheese"
81,"butter,yogurt,juice,coffee,cheese,chips"
82,"juice,banana,cheese,eggs,apples"
83,"yogurt,bread,butter,cheese,eggs,chips"
84,"chips,coffee,cheese,butter"
85,"chips,banana,cheese,tea"
86,"banana,eggs,milk,coffee"
87,"apples,butter"
88,"tea,milk"
89,"milk,juice,apples"
90,"eggs,butter"
91,"juice,butter,eggs,tea,coffee"
92,"yogurt,coffee,cheese,apples,juice"
93,milk
94,"bread,chips,juice,yogurt"
95,"yogurt,coffee"
96,"apples,coffee,chips,yogurt"
97,"eggs,butter,chips"
98,"juice,butter,eggs,coffee,yogurt,tea"
99,"milk,banana"
100,"eggs,bread"
101,chips
102,"coffee,tea"
103,"eggs,cheese,juice"
104,"cheese,milk,eggs,yogurt"
105,"tea,chips,milk,juice"
106,banana
107,"banana,juice"
108,"cheese,eggs,apples,butter,yogurt,coffee"
109,"eggs,cheese,yogurt,banana,chips,juice"
110,"juice,tea,yogurt,bread,cheese"
111,"tea,juice,milk"
112,milk
113,"butter,cheese"
114,"apples,eggs,butter,cheese,banana,chips"
115,milk
116,"banana,tea"
117,"yogurt,juice,butter,eggs"
118,apples
119,"cheese,tea,bread,milk,juice,yogurt"
120,"apples,chips,yogurt,tea"
121,"juice,banana,butter,tea"
122,"apples,yogurt,butter,bread,juice,coffee"
123,"chips,apples,cheese,coffee,bread"
124,"milk,juice"
125,"eggs,butter,milk"
126,"butter,juice,apples,bread"
127,coffee
128,"eggs,coffee,cheese,bread,yogurt"
129,"cheese,butter,bread,yogurt,eggs"
130,"yogurt,tea"
131,"tea,eggs,yogurt,apples,milk"
132,"eggs,yogurt,milk,apples,butter,banana"
133,"banana,bread,chips,tea,yogurt"
134,"tea,milk,bread,coffee,yogurt,cheese"
135,"milk,apples,tea,chips,banana"
136,"cheese,eggs,bread,banana,yogurt"
137,"chips,cheese,coffee,eggs"
138,"apples,milk"
139,"milk,cheese,chips"
140,"banana,coffee,cheese"
141,"bread,cheese,tea,apples,milk"
142,bread
143,chips
144,"apples,banana,eggs,juice"
145,"yogurt,cheese,eggs,bread,butter,apples"
146,"butter,cheese,apples,juice"
147,"cheese,yogurt,juice,bread,chips,butter"
148,apples
149,"milk,yogurt,bread,chips,tea,banana"
150,"juice,chips,coffee,cheese"
151,"coffee,cheese"
152,"eggs,banana,yogurt,juice,butter,tea"
153,"eggs,butter,cheese"
154,"milk,juice"
155,"chips,cheese,coffee,butter,bread"
156,bread
157,"banana,bread"
158,"eggs,milk"
159,"yogurt,bread,milk"
160,"cheese,juice,banana"
161,"milk,apples,juice"
162,"bread,chips,tea,eggs,apples"
163,"chips,bread,eggs,apples,butter"
164,"butter,milk,apples,chips"
165,"chips,banana,apples"
166,"cheese,coffee,milk,apples"
167,coffee
168,"coffee,tea,butter,yogurt"
169,"apples,yogurt,bread,eggs,butter"
170,"chips,coffee"
171,"juice,eggs,banana,butter"
172,"yogurt,milk,coffee,chips,butter,tea"
173,"eggs,milk,apples"
174,"milk,cheese,banana,apples"
175,milk
176,"eggs,bread,banana"
177,"eggs,banana,butter,coffee,chips"
178,"tea,cheese"
179,cheese
180,apples
181,juice
182,"yogurt,tea,juice,banana,apples,milk"
183,"eggs,chips,banana,butter"
184,"chips,eggs,juice"
185,"yogurt,tea,chips,cheese,juice"
186,"banana,eggs"
187,"chips,apples,juice,cheese,butter"
188,bread
189,"milk,yogurt,apples,juice"
190,"coffee,yogurt,butter"
191,apples
192,"tea,coffee"
193,"cheese,butter,tea,chips,apples"
194,"bread,milk,butter,yogurt,cheese,coffee"
195,"coffee,yogurt"
196,"tea,banana"
197,bread
198,yogurt
199,"chips,apples"
200,"milk,cheese"
201,milk
202,yogurt
203,"chips,coffee,juice,tea,apples,milk"
204,cheese
205,"eggs,cheese"
206,"chips,apples"
207,cheese
208,"butter,apples,chips"
209,eggs
210,"apples,banana"
211,"coffee,chips,tea"
212,"yogurt,eggs"
213,"banana,cheese,apples,juice"
214,"yogurt,juice,eggs,chips,milk,apples"
215,juice
216,"eggs,milk"
217,"chips,coffee,yogurt,eggs,banana"
218,"juice,milk"
219,"juice,bread,cheese"
220,"cheese,yogurt,banana"
221,"eggs,coffee,chips,apples"
222,"coffee,chips"
223,cheese
224,"banana,apples"
225,"eggs,bread,milk"
226,tea
227,"banana,milk,butter,cheese,bread"
228,"coffee,eggs,banana,apples"
229,"yogurt,milk,butter,banana,tea"
230,yogurt
231,"butter,bread"
232,"apples,milk,chips"
233,"eggs,coffee,chips"
234,"chips,bread,cheese,banana"
235,cheese
236,"eggs,cheese"
237,"milk,yogurt"
238,"apples,tea,chips,cheese"
239,bread
240,chips
241,"tea,bread"
242,"cheese,banana"
