artist,track,time,date_e,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76
Destiny's Child,Independent Women Part I,03:38,23-09-2000,78,63,49,33,23,15,7,5,1,1,1,1,1,1,1,1,1,1,1,2,3,7,10,12,15,22,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santana,"Maria, Maria",04:18,12-02-2000,15,8,6,5,2,3,2,2,1,1,1,1,1,1,1,1,1,1,8,15,19,21,26,36,48,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savage Garden,I Knew I Loved You,04:07,23-10-1999,71,48,43,31,20,13,7,6,4,4,4,6,4,2,1,1,1,2,1,2,4,8,8,12,14,17,21,24,30,34,37,46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madonna,Music,03:45,12-08-2000,41,23,18,14,2,1,1,1,1,2,2,2,2,2,4,8,11,16,20,25,27,27,29,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aguilera, Christina",Come On Over Baby (All I Want Is You),03:38,05-08-2000,57,47,45,29,23,18,11,9,9,11,1,1,1,1,4,8,12,22,23,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janet,Doesn't Really Matter,04:17,17-06-2000,59,52,43,30,29,22,15,10,10,5,1,1,1,2,2,3,3,7,8,20,25,37,40,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destiny's Child,Say My Name,04:31,25-12-1999,83,83,44,38,16,13,16,16,16,18,17,14,1,1,1,2,2,3,5,5,5,7,10,13,14,18,23,23,34,37,43,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iglesias, Enrique",Be With You,03:36,01-04-2000,63,45,34,23,17,12,9,8,8,6,5,4,1,1,1,3,11,14,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisqo,Incomplete,03:52,24-06-2000,77,66,61,61,61,55,2,1,1,2,2,4,5,5,7,8,10,10,9,14,17,20,25,31,32,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonestar,Amazed,04:25,05-06-1999,81,54,44,39,38,33,29,29,32,27,26,24,27,32,33,35,35,40,43,50,,,,,,,,,,45,45,45,23,17,14,17,18,18,3,1,1,2,3,4,4,5,6,8,9,10,12,15,20,22,22,25,26,31,32,37,42,42,45,50,,,,,,,,,,,,
N'Sync,It's Gonna Be Me,03:10,06-05-2000,82,70,51,39,26,19,15,9,7,7,5,4,1,1,3,4,6,10,13,15,18,23,28,38,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aguilera, Christina",What A Girl Wants,03:18,27-11-1999,71,51,28,18,13,13,11,1,1,2,2,3,3,4,12,11,13,15,18,20,30,40,39,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Horizon,Everything You Want,04:01,22-01-2000,70,61,53,46,40,33,31,26,22,19,17,15,13,9,9,8,8,6,7,7,8,3,3,6,6,1,2,3,4,7,9,10,18,20,27,29,36,40,50,47,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creed,With Arms Wide Open,03:52,13-05-2000,84,78,76,74,70,68,74,75,69,74,70,79,84,86,76,62,45,29,19,11,10,7,5,3,3,3,1,2,2,3,3,3,4,5,5,5,5,9,12,13,13,17,22,26,28,37,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaliyah,Try Again,04:03,18-03-2000,59,53,38,28,21,18,16,14,12,10,9,8,6,1,2,2,2,2,3,4,5,5,6,9,13,14,16,23,22,33,36,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matchbox twenty,Bent,04:12,29-04-2000,60,37,29,24,22,21,18,16,13,12,8,6,1,2,3,2,2,3,4,5,4,4,6,9,12,13,19,20,20,24,29,28,27,30,33,37,38,38,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carey, Mariah",Thank God I Found You,04:14,11-12-1999,82,68,50,50,41,37,26,22,22,2,1,2,4,13,21,28,43,57,82,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Faith",Breathe,04:04,06-11-1999,81,68,62,51,42,35,28,28,28,43,30,23,23,21,21,21,5,3,3,4,4,3,3,3,2,2,3,3,2,2,3,4,2,5,8,11,13,14,18,22,23,22,24,30,31,31,38,39,42,49,49,48,47,,,,,,,,,,,,,,,,,,,,,,,
Mya,Case Of The Ex (Whatcha Gonna Do),03:50,19-08-2000,72,57,52,47,42,31,24,18,17,17,17,10,9,9,7,2,2,2,3,4,4,4,4,8,11,15,19,24,23,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream,He Loves U Not,03:43,30-09-2000,99,92,81,59,47,42,32,27,18,18,11,8,5,2,2,3,3,3,7,9,10,11,10,19,23,28,38,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Braxton, Toni",He Wasn't Man Enough,04:21,18-03-2000,63,55,48,39,35,24,3,2,2,4,4,5,11,12,16,15,14,14,12,10,11,13,13,13,15,16,14,13,17,19,23,29,37,33,34,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anthony, Marc",You Sang To Me,03:50,26-02-2000,77,54,50,43,30,27,21,18,15,13,13,13,13,5,2,2,5,7,9,12,12,16,20,20,22,25,26,29,35,33,40,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98¡,Give Me Just One Night (Una Noche),03:24,19-08-2000,51,39,34,26,26,19,2,2,3,6,7,22,29,36,47,67,66,84,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destiny's Child,Jumpin' Jumpin',03:48,13-05-2000,74,71,65,62,57,50,40,37,22,18,13,8,6,4,3,4,3,3,3,3,4,4,6,7,6,8,10,15,24,30,35,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Doors Down,Kryptonite,03:53,08-04-2000,81,70,68,67,66,57,54,53,51,51,51,51,47,44,38,28,22,18,18,14,12,7,6,6,6,5,5,4,4,4,4,3,3,3,4,5,5,9,9,15,14,13,14,16,17,21,22,24,28,33,42,42,49,,,,,,,,,,,,,,,,,,,,,,,
Sisqo,Thong Song,04:05,29-01-2000,74,63,35,26,26,23,20,16,13,10,6,6,5,4,4,4,3,3,4,3,7,8,13,17,24,31,43,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aguilera, Christina",I Turn To You,04:00,15-04-2000,50,39,30,28,21,19,20,17,17,17,17,3,3,7,10,17,25,29,29,40,43,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",My Love Is Your Love,04:16,04-09-1999,81,68,44,16,11,9,8,7,8,7,8,8,6,6,5,5,5,5,4,6,10,10,11,20,22,27,34,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,I Wanna Know,04:57,01-01-2000,94,86,69,50,41,33,32,28,28,27,27,25,23,20,17,15,14,11,11,14,11,11,10,12,10,6,4,5,4,5,5,7,6,8,5,6,9,9,8,14,16,20,32,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan, Montell",Get It On.. Tonite,04:34,23-10-1999,92,80,72,69,67,61,54,43,38,24,24,20,19,15,15,5,4,4,7,10,5,9,9,7,9,10,10,15,18,23,30,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Sync,Bye Bye Bye,03:15,29-01-2000,42,20,19,14,13,7,6,5,5,5,5,4,4,6,6,7,9,12,18,20,27,34,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,The Real Slim Shady,04:42,06-05-2000,70,32,20,16,11,7,6,4,5,4,8,9,16,30,49,68,83,88,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink,Most Girls,04:06,12-08-2000,85,70,52,36,27,21,15,13,12,8,5,5,5,6,5,4,6,8,11,14,14,16,18,21,26,39,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mumba, Samantha",Gotta Tell You,03:19,09-09-2000,85,72,65,49,39,25,20,10,9,8,6,5,7,4,6,7,13,17,17,23,29,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaque,Bring It All To Me,03:46,23-10-1999,73,63,50,42,24,19,17,14,11,9,9,9,10,5,5,6,8,9,15,15,18,17,18,19,19,22,26,32,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,27-11-1999,36,21,13,9,7,7,5,7,7,7,8,11,7,10,11,12,15,17,23,30,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
