transaction_id,amount,transaction_type,account_age_days,location_risk,is_foreign_transaction,is_high_risk_country,daily_transaction_count,fraud
1,46.926809,atm,4020,0.049922486,1,0,1,0
2,301.0121431,transfer,4228,0.115556699,0,0,3,0
3,131.6745694,atm,930,0.071367014,0,0,0,0
4,91.29425538,transfer,3013,0.760558116,0,0,1,0
5,16.96248705,transfer,1506,0.485566202,0,0,5,0
6,16.95962919,atm,4730,0.342892091,0,0,5,0
7,5.983876861,pos,2945,0.41836891,0,1,1,0
8,201.1230864,transfer,2820,0.928946736,0,0,5,0
9,91.90821536,atm,1185,0.910751813,0,0,3,0
10,123.1250062,online,289,0.71567648,0,0,5,0
11,2.0799308,atm,1812,0.884682377,0,0,5,0
12,350.3557475,online,528,0.319648028,0,0,2,0
13,178.6429543,transfer,917,0.381109326,0,0,4,0
14,23.86876252,atm,1709,0.613712182,0,0,1,0
15,20.06789887,atm,3575,0.623625947,0,0,2,0
16,20.26114228,online,3320,0.481699838,0,0,4,0
17,36.27537295,atm,1407,0.400657848,0,0,5,0
18,74.39278309,atm,1242,0.986180312,0,1,1,1
19,56.55370668,transfer,3134,0.821123626,0,0,1,0
20,34.42229926,atm,799,0.434980198,0,0,1,0
21,94.63708739,pos,1524,0.727292477,0,0,1,0
22,15.02345287,online,4108,0.269561693,0,0,1,0
23,34.5515512,atm,4929,0.100169326,1,1,2,0
24,45.62772182,online,2889,0.352431026,1,0,2,0
25,60.89346879,online,2691,0.4029728,0,0,5,0
26,153.7936011,online,4092,0.016537125,0,1,2,0
27,22.27358621,atm,1242,0.814792002,0,0,5,0
28,72.2029155,atm,691,0.359193402,0,0,4,0
29,89.75047213,online,528,0.580418166,0,0,6,0
30,4.756384976,pos,1496,0.073963187,0,0,6,0
31,93.53330206,online,3826,0.174996829,1,0,6,0
32,18.6961252,pos,2894,0.889693725,1,0,1,0
33,6.726393088,online,893,0.608687528,0,0,2,0
34,297.3687794,transfer,387,0.95028405,0,0,5,0
35,337.0630342,online,1250,0.998750034,0,0,5,0
36,165.2331573,online,2529,0.371860115,0,1,2,0
37,36.328786,atm,4504,0.298803064,0,0,5,0
38,10.2777315,pos,3529,0.858356055,0,0,4,0
39,115.2750763,transfer,898,0.998611427,0,0,3,0
40,58.00908426,pos,711,0.629641234,1,0,2,0
41,13.0152234,transfer,3696,0.795140723,0,0,2,0
42,68.35472281,online,2687,0.781745859,0,0,2,0
43,3.499372144,atm,4513,0.355339708,0,0,2,0
44,240.0422887,atm,416,0.57427038,0,1,3,0
45,29.94577768,pos,1472,0.833056941,1,0,6,0
46,108.6255799,atm,4181,0.688113876,0,0,1,0
47,37.35465817,pos,4263,0.021163814,0,0,4,0
48,73.41108959,pos,2432,0.336705669,0,0,1,0
49,79.1223798,transfer,2516,0.144475697,0,0,2,0
50,20.43885995,pos,1096,0.232972212,1,0,4,0
51,349.2807133,transfer,810,0.905489477,0,0,2,0
52,149.2245377,atm,3045,0.036893289,0,0,2,0
53,280.5094419,pos,993,0.219800712,0,0,6,0
54,225.2151998,pos,1282,0.309569352,0,0,4,0
55,91.10544124,online,4371,0.616884072,0,0,1,0
56,254.9435379,pos,1774,0.53410169,0,0,1,0
57,9.265545895,pos,3562,0.218269483,0,0,3,0
58,21.81346946,online,3817,0.164241067,1,0,3,0
59,4.628196569,online,1757,0.236798035,0,0,3,0
60,39.35320868,atm,2374,0.502529627,0,0,4,0
61,49.21302918,pos,2577,0.271177786,1,0,0,0
62,31.65604432,atm,892,0.947602502,0,0,3,0
63,176.4557865,atm,4185,0.463865221,0,0,3,0
64,44.12269995,online,708,0.058796017,0,0,2,0
65,32.98028401,transfer,2398,0.729266406,0,1,5,1
66,78.24070832,atm,4483,0.328845288,0,0,2,0
67,15.18981478,transfer,2135,0.653488932,0,0,4,0
68,162.0483596,pos,2355,0.279594371,0,1,3,0
69,7.747586881,online,4536,0.570743742,0,0,1,0
70,433.414634,pos,977,0.772152505,0,0,1,0
71,147.9483776,pos,735,0.928008742,0,0,3,0
72,22.15394405,online,2469,0.261127144,0,0,1,0
73,0.553742038,pos,2541,0.334856951,0,1,3,0
74,168.9896777,online,633,0.46426642,0,0,7,0
75,122.7095907,transfer,4269,0.927174838,0,0,2,0
76,130.5662909,pos,4100,0.901386857,0,0,4,0
77,147.5214526,online,2902,0.08987828,0,0,2,0
78,7.692926551,atm,1664,0.131929826,1,0,2,0
79,44.38926724,pos,2016,0.495509177,0,1,2,0
80,12.31501046,transfer,3182,0.106619273,0,1,1,0
81,198.8529572,online,4064,0.345580873,0,0,2,0
82,97.63011917,pos,2631,0.148385378,0,0,4,0
83,40.18188013,pos,3873,0.636040355,0,0,2,0
84,6.56680658,pos,1055,0.949495432,1,1,2,1
85,37.24883504,transfer,381,0.99673377,1,0,0,0
86,39.33142132,online,3083,0.375241132,0,0,1,0
87,130.7875784,atm,2392,0.599012637,0,0,3,0
88,101.4889359,atm,1593,0.856267654,0,0,4,0
89,218.2251912,atm,4262,0.117462073,0,0,3,0
90,63.90661334,online,2748,0.689564411,0,0,4,0
91,12.73723936,atm,2390,0.408843662,1,0,3,0
92,124.9126344,transfer,3554,0.20614616,1,0,7,0
93,143.0392753,online,3028,0.402753619,1,0,1,0
94,82.38874949,pos,1208,0.075960287,0,0,3,0
95,147.3889967,transfer,3854,0.695407149,0,0,0,0
96,68.08147315,pos,545,0.252742669,0,0,3,0
97,73.96788388,atm,3082,0.311405645,0,0,4,0
98,55.78141939,transfer,3664,0.121081298,0,0,2,0
99,2.574777399,online,2240,0.864659114,0,0,1,0
100,11.41674352,transfer,2368,0.493444279,0,0,3,0
101,3.193368129,pos,3774,0.572146878,0,0,5,0
102,101.1729551,online,2628,0.569432683,0,0,6,0
103,37.73967088,transfer,3932,0.410493115,0,0,4,0
104,71.04371771,transfer,2475,0.192529915,0,0,0,0
105,238.126553,transfer,3131,0.745132748,0,1,4,1
106,28.6738823,transfer,3508,0.127056265,0,0,2,0
107,52.82819749,online,97,0.10387379,0,0,2,0
108,140.8749148,pos,3859,0.710145038,0,0,2,0
109,25.98051569,transfer,2709,0.20883702,0,1,3,0
110,8.010427855,online,3337,0.306772751,0,0,3,0
111,34.21403039,pos,457,0.475227467,0,1,4,0
112,17.58083585,transfer,4369,0.449351317,1,0,1,0
113,265.4950086,pos,2988,0.708579125,1,0,1,0
114,165.088708,pos,4089,0.623431793,0,0,2,0
115,100.3494191,online,3885,0.644396162,0,0,3,0
116,205.1519731,pos,1032,0.714054331,0,0,3,0
117,162.7968941,online,208,0.292612727,0,0,5,0
118,20.64954764,transfer,1938,0.322333312,0,0,3,0
119,223.0813405,pos,1147,0.437997748,1,0,0,0
120,77.5099902,pos,4300,0.307462173,0,0,5,0
121,164.7348291,atm,2565,0.984937869,1,0,1,0
122,226.4242649,transfer,443,0.814051926,0,0,2,0
123,38.27307164,transfer,4785,0.164654688,0,1,5,0
124,11.65921601,atm,833,0.005594156,0,0,4,0
125,25.86867461,atm,1462,0.042783268,0,0,1,0
126,55.70576927,online,3517,0.244063451,0,0,4,0
127,170.3829727,online,1160,0.114291286,0,0,10,0
